Bistorta vivipara,alpine bistort,175
Accipiter striatus,Sharp-shinned Hawk,174
Cynomys leucurus,White-tailed Prairie Dog,174
Icaricia lupini,Lupine Blue,174
Oeneis chryxus,Chryxus Arctic,174
Habronattus cuspidatus,,174
Hyalophora gloveri,Glover's Silkmoth,173
Habronattus clypeatus,,173
Potentilla pulcherrima,white-leaved cinquefoil,172
Aphonopelma hentzi,Texas Brown Tarantula,172
Astragalus mollissimus,Woolly Locoweed,172
Anax junius,Common Green Darner,171
Penstemon albidus,White-flower Beardtongue,171
Eriogonum effusum,Spreading Buckwheat,171
Neoscona crucifera,Spotted Orbweaver,169
Holbrookia maculata,Western Earless Lizard,168
Thinopyrum intermedium,Intermediate Wheatgrass,168
Phyla cuneifolia,wedgeleaf frogfruit,168
Urtica dioica,great stinging nettle,167
Euphyes vestris,Dun Skipper,167
Astragalus flexuosus,Flexible Milkvetch,167
Leucophaeus pipixcan,Franklin's Gull,167
Camnula pellucida,Clear-winged Grasshopper,167
Hymenothrix dissecta,ragleaf bahia,167
Celtis occidentalis,common hackberry,166
Callophrys gryneus,Juniper Hairstreak,166
Epilobium hirsutum,Great Willowherb,166
Poa pratensis,Kentucky bluegrass,165
Dyssodia papposa,Fetid marigold,165
Feltia jaculifera,Dingy Cutworm Moth,165
Estigmene acrea,Salt Marsh Moth,165
Hogna carolinensis,Carolina Wolf Spider,165
Polites peckius,Peck's Skipper,165
Eriogonum racemosum,Redroot Buckwheat,165
Spea bombifrons,Plains Spadefoot,164
Leonurus cardiaca,common motherwort,164
Arctia caja,Great Tiger Moth,164
Cirsium scariosum,Elk Thistle,164
Erynnis persius,Persius Duskywing,163
Suillus tomentosus,Blue-staining Slippery Jack,163
Pyrus calleryana,Callery pear,163
Neogale vison,American Mink,163
Aythya valisineria,Canvasback,162
Mentzelia multiflora,Adonis Blazingstar,162
Enallagma carunculatum,Tule Bluet,162
Bouteloua dactyloides,buffalograss,162
Tropidoclonion lineatum,Lined Snake,161
Aristida purpurea,Purple Threeawn,161
Libellula quadrimaculata,Four-spotted Skimmer,160
Valeriana occidentalis,western valerian,160
Mephitis mephitis,Striped Skunk,159
Tibellus oblongus,Oblong Running Spider,159
Lampropeltis gentilis,Western Milksnake,159
Peromyscus sonoriensis,Western Deer Mouse,159
Lepomis macrochirus,Bluegill,158
Argiope trifasciata,Banded Garden Spider,158
Anemonastrum canadense,meadow anemone,158
Ranunculus alismifolius,Plantainleaf Buttercup,157
Hesperia juba,Juba Skipper,157
Cirsium funkiae,funky thistle,157
Elymus smithii,Western Wheatgrass,156
Leccinum aurantiacum,Red-capped Scaber Stalk,156
Oenothera coronopifolia,crownleaf evening primrose,156
Argynnis callippe,Callippe Fritillary,156
Caragana arborescens,Siberian peashrub,155
Pedicularis parryi,Parry's lousewort,155
Erebia epipsodea,Common Alpine,154
Geothlypis tolmiei,MacGillivray's Warbler,153
Calidris bairdii,Baird's Sandpiper,152
Tamarix ramosissima,saltcedar,152
Coprinopsis atramentaria,Common Ink Cap,151
Colias meadii,Mead's Sulphur,151
Hackelia floribunda,many-flowered stickseed,150
Potentilla concinna,Early Cinquefoil,150
Hesperostipa comata,Needle-and-thread Grass,150
Townsendia exscapa,Easter daisy,150
Limnodromus scolopaceus,Long-billed Dowitcher,149
Lepus californicus,Black-tailed Jackrabbit,149
Ulmus americana,American elm,149
Setaria viridis,Green Bristle Grass,149
Eritettix simplex,Velvet-striped Grasshopper,149
Erigeron pinnatisectus,Featherleaf Fleabane,149
Colias alexandra,Queen Alexandra’s Sulphur,149
Neoligia exhausta,Exhausted Brocade,149
